Country,Year,Export_tonnes
Gabon,1994,300.0
Ghana,1994,660.0
Guatemala,1994,196440.0
Guinea,1994,3000.0
Haiti,1994,6180.0
Honduras,1994,103080.0
India,1994,149760.0
Indonesia,1994,276300.0
Jamaica,1994,960.0
Kenya,1994,81480.0
Lao People's Democratic Republic,1994,9180.0
Madagascar,1994,26160.0
Malawi,1994,4680.0
Mexico,1994,167340.0
Nicaragua,1994,37440.0
Nigeria,1994,480.0
Panama,1994,4560.0
Papua New Guinea,1994,69420.0
Paraguay,1994,2880.0
Peru,1994,63420.0
Philippines,1994,7560.0
Rwanda,1994,1800.0
Sierra Leone,1994,3720.0
Sri Lanka,1994,2820.0
Tanzania,1994,37920.0
Thailand,1994,68160.0
Togo,1994,9960.0
Trinidad & Tobago,1994,300.0
Uganda,1994,202140.0
Venezuela,1994,23160.0
Viet Nam,1994,163260.0
Yemen,1994,5580.0
Zambia,1994,1440.0
Zimbabwe,1994,1920.0
Angola,1995,2460.0
Bolivia (Plurinational State of),1995,5640.0
Brazil,1995,868080.0
Burundi,1995,31680.0
Cameroon,1995,24420.0
Central African Republic,1995,13920.0
Colombia,1995,588840.0
Congo,1995,1140.0
Costa Rica,1995,124020.0
Côte d'Ivoire,1995,149640.0
Cuba,1995,7320.0
Democratic Republic of Congo,1995,63060.0
Dominican Republic,1995,27060.0
Ecuador,1995,92400.0
El Salvador,1995,108420.0
Equatorial Guinea,1995,180.0
Ethiopia,1995,76560.0
Gabon,1995,180.0
Ghana,1995,2280.0
Guatemala,1995,222060.0
Guinea,1995,9120.0
Haiti,1995,9120.0
Honduras,1995,107760.0
India,1995,148020.0
Indonesia,1995,236820.0
Jamaica,1995,1560.0
Kenya,1995,87000.0
Lao People's Democratic Republic,1995,9900.0
Madagascar,1995,35100.0
Malawi,1995,5520.0
Mexico,1995,217560.0
Nicaragua,1995,40860.0
Nigeria,1995,900.0
Panama,1995,10860.0
Papua New Guinea,1995,60120.0
Paraguay,1995,1260.0
Peru,1995,105600.0
Philippines,1995,3420.0
Rwanda,1995,18840.0
Sierra Leone,1995,4260.0
Sri Lanka,1995,1320.0
Tanzania,1995,44700.0
Thailand,1995,72600.0
Togo,1995,12000.0
Trinidad & Tobago,1995,240.0
Uganda,1995,184740.0
Venezuela,1995,5820.0
Viet Nam,1995,212760.0
Yemen,1995,4620.0
Zambia,1995,1260.0
Zimbabwe,1995,9420.0
Angola,1996,3120.0
Bolivia (Plurinational State of),1996,7380.0
Brazil,1996,915060.0
Burundi,1996,13440.0
Cameroon,1996,33840.0
Central African Republic,1996,5880.0
Colombia,1996,635280.0
