Country,Year,Import_tonnes
Switzerland,1996,66720.0
Tunisia,1996,8640.0
United Kingdom,1996,174180.0
United States of America,1996,1166700.0
Austria,1997,77640.0
Belgium/Luxembourg,1997,152640.0
Bulgaria,1997,17640.0
Croatia,1997,23100.0
Cyprus,1997,2460.0
Czechia,1997,33600.0
Denmark,1997,56940.0
Estonia,1997,8460.0
Finland,1997,71160.0
France,1997,402240.0
Germany,1997,834300.0
Greece,1997,47340.0
Hungary,1997,40500.0
Ireland,1997,6360.0
Italy,1997,344580.0
Latvia,1997,8640.0
Lithuania,1997,11220.0
Malta,1997,540.0
Netherlands,1997,175440.0
Poland,1997,135180.0
Portugal,1997,43620.0
Romania,1997,37860.0
Slovakia,1997,15180.0
Slovenia,1997,10260.0
Spain,1997,226620.0
Sweden,1997,88380.0
Japan,1997,355260.0
Norway,1997,41040.0
Russian Federation,1997,131100.0
Switzerland,1997,58260.0
Tunisia,1997,9900.0
United Kingdom,1997,175740.0
United States of America,1997,1220580.0
Austria,1998,77580.0
Belgium/Luxembourg,1998,214800.0
Bulgaria,1998,20520.0
Croatia,1998,20340.0
Cyprus,1998,3000.0
Czechia,1998,45900.0
Denmark,1998,60840.0
Estonia,1998,8100.0
Finland,1998,70080.0
France,1998,394560.0
Germany,1998,824400.0
Greece,1998,42240.0
Hungary,1998,42960.0
Ireland,1998,6120.0
Italy,1998,353340.0
Latvia,1998,9540.0
Lithuania,1998,11100.0
Malta,1998,600.0
Netherlands,1998,171720.0
Poland,1998,137580.0
Portugal,1998,45720.0
Romania,1998,35700.0
Slovakia,1998,15540.0
Slovenia,1998,10440.0
Spain,1998,223080.0
Sweden,1998,86400.0
Japan,1998,361620.0
Norway,1998,42420.0
Russian Federation,1998,103920.0
Switzerland,1998,66720.0
Tunisia,1998,8820.0
United Kingdom,1998,188520.0
United States of America,1998,1261800.0
Austria,1999,90000.0
Belgium,1999,180180.0
Bulgaria,1999,22020.0
Croatia,1999,21120.0
Cyprus,1999,3300.0
Czechia,1999,43680.0
Denmark,1999,65640.0
Estonia,1999,7860.0
Finland,1999,72540.0
France,1999,400560.0
Germany,1999,859200.0
Greece,1999,43980.0
Hungary,1999,45720.0
Ireland,1999,8520.0
Italy,1999,356580.0
Latvia,1999,10980.0
Lithuania,1999,12360.0
Luxembourg,1999,8700.0
Malta,1999,540.0
Netherlands,1999,153960.0
Poland,1999,144240.0
Portugal,1999,49020.0
Romania,1999,30660.0
Slovakia,1999,16140.0
Slovenia,1999,10920.0
Spain,1999,239160.0
Sweden,1999,87360.0
Japan,1999,392820.0
Norway,1999,47400.0
Russian Federation,1999,82080.0
Switzerland,1999,68340.0
Tunisia,1999,11160.0
United Kingdom,1999,174420.0
United States of America,1999,1364760.0
Austria,2000,75420.0
Belgium,2000,209460.0
Bulgaria,2000,16860.0
Croatia,2000,20640.0
Cyprus,2000,4140.0
Czechia,2000,48540.0
Denmark,2000,61320.0
Estonia,2000,6300.0
Finland,2000,63780.0
France,2000,391200.0
Germany,2000,833700.0
Greece,2000,47880.0
Hungary,2000,47400.0
Ireland,2000,9300.0
Italy,2000,378900.0
Latvia,2000,10860.0
Lithuania,2000,12780.0
Luxembourg,2000,13920.0
Malta,2000,540.0
Netherlands,2000,177960.0
Poland,2000,154560.0
Portugal,2000,48660.0
Romania,2000,33120.0
Slovakia,2000,17160.0
Slovenia,2000,11220.0
Spain,2000,226080.0
Sweden,2000,80640.0
Japan,2000,414480.0
Norway,2000,39720.0
Russian Federation,2000,113400.0
Switzerland,2000,70260.0
Tunisia,2000,11520.0
United Kingdom,2000,180720.0
United States of America,2000,1426020.0
Austria,2001,85920.0
Belgium,2001,192540.0
Bulgaria,2001,21300.0
Croatia,2001,21120.0
Cyprus,2001,3540.0
Czechia,2001,53940.0
Denmark,2001,66180.0
Estonia,2001,9660.0
Finland,2001,65040.0
France,2001,405180.0
Germany,2001,885180.0
Greece,2001,52080.0
Hungary,2001,49980.0
Ireland,2001,10800.0
Italy,2001,392520.0
Latvia,2001,9360.0
Lithuania,2001,16020.0
Luxembourg,2001,12600.0
Malta,2001,540.0
Netherlands,2001,167640.0
Poland,2001,163140.0
Portugal,2001,50580.0
Romania,2001,37980.0
Slovakia,2001,19020.0
Slovenia,2001,11640.0
Spain,2001,243480.0
Sweden,2001,85920.0
Japan,2001,419760.0
Norway,2001,42960.0
Russian Federation,2001,183420.0
Switzerland,2001,75300.0
Tunisia,2001,13980.0
United Kingdom,2001,183720.0
United States of America,2001,1284900.0
Austria,2002,86820.0
Belgium,2002,227520.0
Bulgaria,2002,20580.0
Croatia,2002,22260.0
Cyprus,2002,3420.0
Czechia,2002,53280.0
Denmark,2002,64560.0
Estonia,2002,7200.0
Finland,2002,64500.0
France,2002,415500.0
Germany,2002,930960.0
Greece,2002,53820.0
Hungary,2002,49680.0
Ireland,2002,10620.0
Italy,2002,391380.0
Latvia,2002,9840.0
Lithuania,2002,15780.0
Luxembourg,2002,15180.0
Malta,2002,600.0
Netherlands,2002,165600.0
Poland,2002,158580.0
Portugal,2002,50280.0
Romania,2002,44280.0
Slovakia,2002,18000.0
Slovenia,2002,12060.0
Spain,2002,241560.0
Sweden,2002,87780.0
Japan,2002,438420.0
Norway,2002,41880.0
Russian Federation,2002,210240.0
Switzerland,2002,73020.0
Tunisia,2002,14160.0
United Kingdom,2002,178260.0
United States of America,2002,1298340.0
Austria,2003,80160.0
Belgium,2003,229080.0
Bulgaria,2003,24000.0
Croatia,2003,23580.0
Cyprus,2003,3540.0
Czechia,2003,58440.0
Denmark,2003,60120.0
Estonia,2003,8040.0
Finland,2003,66300.0
France,2003,399120.0
Germany,2003,943620.0
Greece,2003,59880.0
Hungary,2003,51840.0
Ireland,2003,13620.0
Italy,2003,415740.0
Latvia,2003,11160.0
Lithuania,2003,13260.0
Luxembourg,2003,17340.0
Malta,2003,660.0
Netherlands,2003,190560.0
Poland,2003,159840.0
Portugal,2003,50040.0
Romania,2003,45300.0
Slovakia,2003,18180.0
Slovenia,2003,10620.0
Spain,2003,248160.0
Sweden,2003,86100.0
Japan,2003,415380.0
Norway,2003,41460.0
Russian Federation,2003,226320.0
Switzerland,2003,79320.0
Tunisia,2003,7380.0
United Kingdom,2003,180120.0
United States of America,2003,1365600.0
Austria,2004,92280.0
Belgium,2004,238080.0
Bulgaria,2004,22020.0
Croatia,2004,23280.0
Cyprus,2004,3540.0
Czechia,2004,55740.0
Denmark,2004,67140.0
Estonia,2004,10560.0
Finland,2004,69120.0
France,2004,356400.0
Germany,2004,1041360.0
Greece,2004,56520.0
Hungary,2004,58620.0
Ireland,2004,15840.0
Italy,2004,421920.0
Latvia,2004,11280.0
Lithuania,2004,15360.0
Luxembourg,2004,18960.0
Malta,2004,960.0
Netherlands,2004,189540.0
Poland,2004,161220.0
Portugal,2004,50280.0
Romania,2004,49680.0
Slovakia,2004,17880.0
Slovenia,2004,11760.0
Spain,2004,250380.0
Sweden,2004,89700.0
Japan,2004,435240.0
Norway,2004,42960.0
Russian Federation,2004,192300.0
Switzerland,2004,74160.0
Tunisia,2004,15840.0
United Kingdom,2004,199740.0
United States of America,2004,1391040.0
Austria,2005,94620.0
Belgium,2005,243780.0
Bulgaria,2005,26460.0
Croatia,2005,23520.0
Cyprus,2005,4800.0
Czechia,2005,63780.0
Denmark,2005,59580.0
Estonia,2005,13260.0
Finland,2005,69360.0
France,2005,342840.0
Germany,2005,1002960.0
Greece,2005,55860.0
Hungary,2005,51120.0
Ireland,2005,15060.0
Italy,2005,436140.0
Latvia,2005,11460.0
Lithuania,2005,17040.0
Luxembourg,2005,19860.0
Malta,2005,960.0
Netherlands,2005,179280.0
Poland,2005,167520.0
